-- v TEXTURE
23.80, 21.30, 23.80, 21.30, 14.20, 47.50, 14.20, 47.50
14.20, 47.50, 14.20, 47.50, 9.60, 47.50, 9.60, 47.50
9.60, 47.50, 9.60, 47.50, 0.00, 21.30, 0.00, 21.30
0.00, 21.30, 0.00, 21.30, 4.45, 21.30, 4.45, 21.30
4.45, 21.30, 4.45, 21.30, 12.00, 42.50, 12.00, 42.50
12.00, 42.50, 12.00, 42.50, 19.50, 21.30, 19.50, 21.30
19.50, 21.30, 19.50, 21.30, 23.80, 21.30, 23.80, 21.30
-- 0 TEXTURE
42.80, 11.75, 45.07, 11.75, 46.95, 12.26, 48.45, 13.27
48.45, 13.27, 49.95, 14.29, 51.13, 15.67, 52.00, 17.40
52.00, 17.40, 52.87, 19.13, 53.48, 21.09, 53.85, 23.27
53.85, 23.27, 54.22, 25.46, 54.40, 27.72, 54.40, 30.05
54.40, 30.05, 54.40, 32.38, 54.22, 34.64, 53.85, 36.83
53.85, 36.83, 53.48, 39.01, 52.87, 40.98, 52.00, 42.73
52.00, 42.73, 51.13, 44.48, 49.95, 45.86, 48.45, 46.88
48.45, 46.88, 46.95, 47.89, 45.07, 48.40, 42.80, 48.40
42.80, 48.40, 40.53, 48.40, 38.65, 47.89, 37.15, 46.88
37.15, 46.88, 35.65, 45.86, 34.47, 44.48, 33.60, 42.73
33.60, 42.73, 32.73, 40.98, 32.12, 39.01, 31.75, 36.83
31.75, 36.83, 31.38, 34.64, 31.20, 32.38, 31.20, 30.05
31.20, 30.05, 31.20, 27.72, 31.38, 25.46, 31.75, 23.27
31.75, 23.27, 32.12, 21.09, 32.73, 19.13, 33.60, 17.40
33.60, 17.40, 34.47, 15.67, 35.65, 14.29, 37.15, 13.27
37.15, 13.27, 38.65, 12.26, 40.53, 11.75, 42.80, 11.75
42.80, 15.55, 40.23, 15.55, 38.34, 16.87, 37.13, 19.50
37.13, 19.50, 35.91, 22.13, 35.30, 25.65, 35.30, 30.05
35.30, 30.05, 35.30, 32.18, 35.44, 34.13, 35.73, 35.88
35.73, 35.88, 36.01, 37.63, 36.43, 39.12, 37.00, 40.35
37.00, 40.35, 37.00, 40.35, 39.25, 43.40, 39.25, 43.40
46.85, 17.20, 45.75, 16.10, 44.40, 15.55, 42.80, 15.55
50.30, 30.05, 50.30, 28.12, 50.18, 26.35, 49.95, 24.75
49.95, 24.75, 49.72, 23.15, 49.37, 21.73, 48.90, 20.50
48.90, 20.50, 48.90, 20.50, 46.85, 17.20, 46.85, 17.20
39.25, 43.40, 40.25, 44.20, 41.43, 44.60, 42.80, 44.60
42.80, 44.60, 44.53, 44.60, 45.95, 44.00, 47.05, 42.80
47.05, 42.80, 48.15, 41.60, 48.97, 39.91, 49.50, 37.73
49.50, 37.73, 50.03, 35.54, 50.30, 32.98, 50.30, 30.05
-- 1 TEXTURE
73.40, 47.50, 73.40, 47.50, 73.40, 22.15, 73.40, 22.15
73.40, 22.15, 73.40, 22.15, 64.05, 22.15, 64.05, 22.15
64.05, 22.15, 64.05, 22.15, 64.05, 18.85, 64.05, 18.85
64.05, 18.85, 66.12, 18.75, 67.76, 18.62, 68.97, 18.45
68.97, 18.45, 70.19, 18.28, 71.13, 17.98, 71.80, 17.55
71.80, 17.55, 72.47, 17.12, 72.99, 16.48, 73.38, 15.63
73.38, 15.63, 73.76, 14.78, 74.13, 13.62, 74.50, 12.15
74.50, 12.15, 74.50, 12.15, 77.80, 12.15, 77.80, 12.15
77.80, 12.15, 77.80, 12.15, 77.80, 47.50, 77.80, 47.50
77.80, 47.50, 77.80, 47.50, 73.40, 47.50, 73.40, 47.50
-- 2 TEXTURE
116.30, 43.65, 116.30, 43.65, 116.30, 47.50, 116.30, 47.50
116.30, 47.50, 116.30, 47.50, 92.70, 47.50, 92.70, 47.50
92.70, 47.50, 92.90, 44.77, 93.32, 42.49, 93.95, 40.67
93.95, 40.67, 94.58, 38.86, 95.59, 37.27, 96.98, 35.90
96.98, 35.90, 98.36, 34.53, 100.25, 33.20, 102.65, 31.90
102.65, 31.90, 102.65, 31.90, 107.30, 29.35, 107.30, 29.35
107.30, 29.35, 108.87, 28.48, 110.05, 27.47, 110.85, 26.32
110.85, 26.32, 111.65, 25.17, 112.05, 23.83, 112.05, 22.30
112.05, 22.30, 112.05, 20.33, 111.52, 18.72, 110.45, 17.47
110.45, 17.47, 109.38, 16.22, 107.73, 15.60, 105.50, 15.60
105.50, 15.60, 102.93, 15.60, 101.07, 16.40, 99.90, 18.00
99.90, 18.00, 98.73, 19.60, 98.07, 21.68, 97.90, 24.25
97.90, 24.25, 97.90, 24.25, 93.50, 24.25, 93.50, 24.25
93.50, 24.25, 93.63, 20.25, 94.71, 17.17, 96.73, 15.00
96.73, 15.00, 98.74, 12.83, 101.72, 11.75, 105.65, 11.75
105.65, 11.75, 108.05, 11.75, 110.06, 12.22, 111.68, 13.17
111.68, 13.17, 113.29, 14.12, 114.51, 15.39, 115.33, 16.97
115.33, 16.97, 116.14, 18.56, 116.55, 20.33, 116.55, 22.30
116.55, 22.30, 116.55, 26.77, 114.07, 30.32, 109.10, 32.95
109.10, 32.95, 109.10, 32.95, 104.10, 35.60, 104.10, 35.60
104.10, 35.60, 102.00, 36.73, 100.44, 37.94, 99.43, 39.23
99.43, 39.23, 98.41, 40.51, 97.82, 41.98, 97.65, 43.65
97.65, 43.65, 97.65, 43.65, 116.30, 43.65, 116.30, 43.65
-- 3 TEXTURE
135.55, 30.95, 135.55, 30.95, 133.10, 30.95, 133.10, 30.95
133.10, 30.95, 133.10, 30.95, 133.10, 27.20, 133.10, 27.20
133.10, 27.20, 134.80, 27.27, 136.31, 27.18, 137.63, 26.95
137.63, 26.95, 138.94, 26.72, 139.98, 26.17, 140.73, 25.32
140.73, 25.32, 141.48, 24.47, 141.85, 23.22, 141.85, 21.55
141.85, 21.55, 141.85, 19.58, 141.26, 18.10, 140.08, 17.10
